product,product_category,warehouse_dist_km,product_weight_kg,shipment_mode,warehouse_processing_time_days,demand_forecast_unit,shipping_cost,delivery_time_days
Hard Drive,Storage,740.67,1.03,Road,3,2515,77.28,5
Speaker,Accessories,697.93,0.25,Air,5,2181,142.09,6
Keyboard,Accessories,816.1,0.99,Air,4,2067,173.12,5
Keyboard,Accessories,1182.66,0.62,Road,3,5442,116.51,6
SSD,Storage,1317.11,1.5,Road,1,1852,135.44,5
Mobile Phone,Electronics,1975.25,0.7,Road,1,3724,196.34,7
Microwave,Home Appliances,700.82,17.99,Rail,4,225,325.92,7
Mobile Phone,Electronics,1692.16,1.85,Rail,2,4521,150.17,8
Mobile Phone,Electronics,1093.01,2.11,Road,5,4227,125.18,8
Headphones,Accessories,1175.27,1.29,Rail,3,3299,99.18,7
Laptop,Electronics,1537.41,1.39,Road,2,2976,160.94,6
Mobile Phone,Electronics,638.64,3.91,Air,4,2829,205.93,5
Mobile Phone,Electronics,1391.2,3.28,Road,4,4732,165.04,8
Keyboard,Accessories,1283.23,2.91,Road,4,6884,137.16,8
Speaker,Accessories,1446.23,2.36,Air,4,2748,312.85,6
Drone,Gadgets,1344.58,4.67,Rail,1,744,154.27,6
Hard Drive,Storage,2427.65,1.11,Road,2,2498,239.71,9
Speaker,Accessories,881.13,2.95,Road,3,5593,98.75,6
Keyboard,Accessories,934.5,2.13,Air,2,4053,208.2,4
Monitor,Electronics,888.43,2.97,Road,5,4355,113.8,8
Microwave,Home Appliances,922.26,37.47,Rail,3,1159,635.83,6
Hard Drive,Storage,881.31,0.29,Air,3,1578,179.89,5
Drone,Gadgets,1794.51,2.43,Road,5,2052,201.43,10
Keyboard,Accessories,1910.25,1.94,Air,5,3956,401.45,8
Hard Drive,Storage,914.63,1.06,Road,4,1277,94.16,7
Smart Watch,Gadgets,783.82,2.64,Road,5,1659,106.93,7
SSD,Storage,1435.71,1.03,Air,5,773,300.02,7
Mobile Phone,Electronics,923.89,1.13,Air,1,3488,207.38,3
Keyboard,Accessories,1516.47,0.29,Road,4,6013,146.97,8
Smart Watch,Gadgets,1301.46,3.6,Air,3,1404,350.29,5
Smart Watch,Gadgets,442.13,0.63,Rail,2,2512,41.67,4
Monitor,Electronics,1973.75,3.3,Air,5,4545,460.75,8
Refrigerator,Home Appliances,2097.94,49.3,Road,5,744,1088.8,11
Camera,Gadgets,893.61,3.75,Rail,1,1384,108.99,4
Camera,Gadgets,1006.15,0.78,Air,4,1276,220.73,6
Mouse,Accessories,1342.93,1.8,Rail,5,6572,114.63,10
TV,Home Appliances,1367.23,13.49,Road,3,1139,374.07,7
Microwave,Home Appliances,1529.27,16.67,Air,4,1233,930.98,7
Hard Drive,Storage,2205.1,0.89,Road,3,1790,217.03,9
Drone,Gadgets,1111.53,4.27,Road,4,1824,157.95,7
Camera,Gadgets,800.85,2.95,Air,5,1540,233.92,6
SSD,Storage,510.34,0.78,Air,1,1665,111.82,2
Camera,Gadgets,834.53,2.73,Rail,3,526,94.06,6
Hard Drive,Storage,1183.44,0.48,Air,3,2767,242.69,5
Smart Watch,Gadgets,2097.28,2.98,Road,1,654,237.1,7
Refrigerator,Home Appliances,941.19,16.12,Air,5,711,792.74,7
Speaker,Accessories,1311.89,2.47,Air,4,6661,287.08,6
Keyboard,Accessories,1191.79,2.23,Road,2,5999,125.12,5
Camera,Gadgets,1794.2,3.1,Air,5,2062,436.34,8
Laptop,Electronics,2463.47,3.73,Air,4,3206,567.29,8
Mobile Phone,Electronics,934.57,3.12,Rail,1,4096,99.73,4
Microwave,Home Appliances,955.28,23.85,Air,5,1356,1085.43,7
Speaker,Accessories,1722.08,1.61,Air,1,5218,360.52,4
TV,Home Appliances,1540.95,37.91,Road,4,793,830.31,8
Microwave,Home Appliances,2123.35,14.87,Air,5,300,982.3,9
Drone,Gadgets,1491.96,1.53,Air,4,1034,336.64,7
Headphones,Accessories,1020.35,1.77,Road,5,3606,106.45,8
Smart Watch,Gadgets,1495.33,4.99,Road,2,793,203.43,6
SSD,Storage,1754.35,0.62,Rail,1,960,143.45,8
Refrigerator,Home Appliances,1610.24,26.99,Road,3,1416,640.4,8
Tablet,Electronics,1453.64,1.09,Air,4,4052,312.53,6
Headphones,Accessories,1733.34,0.33,Rail,2,5062,139.99,8
Keyboard,Accessories,1784.65,0.51,Air,5,3209,362.03,8
Hard Drive,Storage,1891.08,0.65,Rail,3,2343,154.54,10
Microwave,Home Appliances,1524.35,25.26,Rail,2,617,500.85,8
Smart Watch,Gadgets,1116.44,3.83,Road,5,1078,153.14,8
Monitor,Electronics,1273.36,2.54,Road,1,2546,146.63,5
Keyboard,Accessories,1803.25,1.0,Road,5,4222,177.91,10
Monitor,Electronics,791.53,2.79,Air,4,4204,214.11,5
SSD,Storage,1384.34,1.32,Air,4,1446,293.37,6
TV,Home Appliances,1003.33,58.78,Road,3,1192,1154.36,6
Smart Watch,Gadgets,1214.37,0.71,Air,4,2796,260.62,6
Laptop,Electronics,1839.23,1.37,Road,3,3506,189.72,8
TV,Home Appliances,1295.55,16.16,Air,3,927,865.11,5
Hard Drive,Storage,1223.22,1.49,Rail,3,753,105.31,8
SSD,Storage,520.07,1.36,Rail,1,2773,48.41,3
Hard Drive,Storage,1573.13,0.4,Rail,2,859,127.85,8
TV,Home Appliances,1522.74,57.95,Rail,2,1054,991.07,8
Mouse,Accessories,2281.63,1.39,Air,5,4697,470.23,9
TV,Home Appliances,1046.11,14.85,Road,5,1308,367.73,8
Mouse,Accessories,1309.58,1.07,Road,5,3107,130.86,9
Microwave,Home Appliances,1324.69,42.12,Rail,2,850,737.78,7
Laptop,Electronics,1988.73,1.14,Rail,2,4478,168.22,9
Tablet,Electronics,1152.35,3.58,Road,4,2742,144.99,7
TV,Home Appliances,1339.51,56.56,Sea,3,511,764.45,11
Keyboard,Accessories,1503.95,0.57,Air,5,4186,306.49,8
Smart Watch,Gadgets,1293.3,3.18,Road,2,606,162.32,6
Hard Drive,Storage,976.78,1.09,Road,5,2976,100.31,8
TV,Home Appliances,1297.04,41.78,Road,4,1206,876.56,8
Microwave,Home Appliances,1736.82,16.52,Air,4,230,966.86,7
SSD,Storage,686.74,0.49,Road,2,1337,68.87,4
Mobile Phone,Electronics,1266.48,3.74,Rail,5,3506,131.24,10
SSD,Storage,849.94,1.35,Road,1,2990,89.69,3
TV,Home Appliances,1797.52,24.27,Road,5,1416,609.42,10
Smart Watch,Gadgets,438.41,3.31,Road,1,2632,81.81,2
Monitor,Electronics,920.54,2.1,Rail,2,3624,90.44,5
Drone,Gadgets,1388.61,4.92,Air,4,2614,400.72,6
Mobile Phone,Electronics,1982.76,1.52,Air,3,4668,426.95,6
SSD,Storage,1167.12,0.42,Air,1,2617,238.67,3
Headphones,Accessories,922.4,2.52,Road,5,2927,100.65,8
Mouse,Accessories,2140.58,1.3,Air,1,3465,441.12,5
TV,Home Appliances,475.99,54.62,Sea,4,384,685.9,7
SSD,Storage,100.6,1.1,Rail,2,1006,13.55,2
Laptop,Electronics,1420.01,2.97,Road,1,3645,164.83,5
TV,Home Appliances,948.97,49.14,Rail,2,975,813.02,6
Drone,Gadgets,689.38,0.51,Air,3,2816,150.63,4
Mouse,Accessories,1554.18,2.63,Air,1,5437,337.14,4
SSD,Storage,1321.9,1.15,Rail,3,1240,111.5,8
Mobile Phone,Electronics,917.96,3.86,Air,3,1550,260.79,5
Refrigerator,Home Appliances,559.85,52.48,Rail,1,1445,831.99,3
Microwave,Home Appliances,1636.23,19.28,Road,4,1039,504.12,9
Microwave,Home Appliances,1525.1,39.26,Road,5,769,853.09,9
Smart Watch,Gadgets,1150.41,2.92,Rail,1,1257,121.23,5
Keyboard,Accessories,2123.32,2.03,Air,1,6735,444.96,5
Drone,Gadgets,664.96,1.86,Air,1,2207,179.49,2
Mouse,Accessories,437.24,2.08,Road,5,6688,51.96,6
Camera,Gadgets,854.05,4.84,Road,3,646,140.07,5
Tablet,Electronics,1177.21,1.63,Rail,1,4606,107.22,5
TV,Home Appliances,1321.67,11.38,Road,1,762,331.72,5
SSD,Storage,1079.38,0.88,Road,5,738,108.9,8
Laptop,Electronics,1376.03,2.19,Road,3,3249,153.12,7
Drone,Gadgets,574.23,1.52,Road,5,1949,73.37,7
Headphones,Accessories,1921.88,1.66,Road,4,3473,192.47,9
Camera,Gadgets,1158.92,3.63,Rail,1,984,129.01,5
Monitor,Electronics,1758.65,2.69,Air,2,4775,405.53,5
Drone,Gadgets,1371.36,2.25,Air,5,1369,330.52,7
Mobile Phone,Electronics,1428.38,2.92,Air,1,2760,344.08,3
SSD,Storage,1484.88,1.2,Air,3,1898,311.98,6
TV,Home Appliances,1423.85,37.58,Sea,2,597,542.09,10
SSD,Storage,1521.36,1.4,Road,4,645,154.45,8
Headphones,Accessories,1864.58,0.64,Road,5,4745,182.07,10
Refrigerator,Home Appliances,1298.26,56.25,Road,5,813,1137.13,9
Smart Watch,Gadgets,1554.5,3.49,Road,1,1353,191.11,5
Smart Watch,Gadgets,1155.13,1.86,Rail,3,771,111.01,7
Speaker,Accessories,1920.06,2.55,Air,4,6376,409.51,7
Headphones,Accessories,861.8,0.72,Air,3,4576,179.56,4
Tablet,Electronics,2100.47,1.95,Road,2,3022,220.37,8
Refrigerator,Home Appliances,1179.92,19.24,Air,1,966,957.48,3
Mobile Phone,Electronics,484.61,3.7,Road,1,4772,82.04,2
TV,Home Appliances,1264.05,16.01,Air,4,1272,853.18,6
SSD,Storage,859.47,0.39,Rail,5,1043,70.71,8
Keyboard,Accessories,1620.32,1.49,Road,5,2948,162.7,10
Tablet,Electronics,873.69,3.76,Road,5,1856,119.97,7
SSD,Storage,976.91,1.36,Air,3,592,212.38,5
Drone,Gadgets,255.23,3.3,Air,2,1288,133.55,2
SSD,Storage,973.85,0.89,Road,1,1616,98.83,4
Mouse,Accessories,50.0,0.97,Air,5,6584,19.7,5
Camera,Gadgets,408.05,1.27,Air,3,1610,113.36,4
Speaker,Accessories,1580.21,1.81,Air,3,4774,334.14,6
Drone,Gadgets,1592.9,0.54,Air,1,933,332.08,4
Microwave,Home Appliances,1412.73,12.48,Air,5,1413,750.55,7
TV,Home Appliances,716.51,26.49,Road,2,1292,545.6,4
Monitor,Electronics,1176.14,2.49,Air,4,1898,285.03,6
Refrigerator,Home Appliances,1198.2,43.59,Rail,4,1163,749.71,8
Mouse,Accessories,620.82,0.6,Rail,3,4977,52.07,5
Microwave,Home Appliances,1951.7,44.38,Rail,3,1128,821.84,10
Microwave,Home Appliances,1638.68,11.4,Air,4,1144,755.24,7
Speaker,Accessories,1089.52,2.35,Road,2,6161,115.87,5
Monitor,Electronics,1213.44,3.36,Road,3,3777,148.75,6
Tablet,Electronics,1304.19,2.36,Road,4,2477,147.86,8
Camera,Gadgets,179.13,2.88,Rail,4,770,43.13,5
Hard Drive,Storage,1076.41,1.26,Road,4,2823,110.9,7
Hard Drive,Storage,859.01,0.43,Road,5,2493,85.04,7
Monitor,Electronics,699.19,1.64,Air,4,2221,172.64,5
SSD,Storage,1059.45,0.29,Air,5,2052,215.52,7
SSD,Storage,2098.84,1.04,Air,2,1069,432.77,6
Smart Watch,Gadgets,1520.42,4.11,Road,2,2355,195.28,6
Drone,Gadgets,914.41,2.13,Road,2,1342,113.34,5
SSD,Storage,1486.29,0.94,Rail,3,2280,123.6,9
